run_id,batch_id,workload_type,workload_name,workload_complexity,cpu_cores,memory_total_gb,cpu_avg_pct,effective_cpu,memory_avg_gb,memory_pressure,disk_read_mb,disk_write_mb,io_intensity,disk_type,disk_speed_class,runtime_sec
32,batch_1,ML,ml_resnet,5,4,4,95.0,3.8,1.9,0.475,187.49,146.1,333.59,NVMe,3,123.12
33,batch_1,ML,ml_resnet,5,4,4,95.0,3.8,2.1,0.525,123.18,81.72,204.9,HDD,1,180.68
34,batch_1,ML,ml_resnet,5,4,4,89.88,3.6,3.09,0.772,216.87,26.64,243.51,SSD,2,118.25
35,batch_1,ML,ml_resnet,5,4,4,95.0,3.8,3.14,0.785,242.87,167.48,410.35,NVMe,3,116.06
36,batch_1,ML,ml_resnet,5,4,8,95.0,3.8,4.88,0.61,33.49,74.43,107.92,HDD,1,155.84
37,batch_1,ML,ml_resnet,5,4,8,95.0,3.8,6.11,0.764,124.65,81.91,206.56,SSD,2,125.89
38,batch_1,ML,ml_resnet,5,4,8,89.61,3.58,4.1,0.512,88.24,174.68,262.92,NVMe,3,104.86
39,batch_1,ML,ml_resnet,5,4,8,85.38,3.42,3.8,0.475,92.13,18.52,110.65,NVMe,3,96.04
40,batch_1,ML,ml_resnet,5,4,8,82.35,3.29,6.67,0.834,38.43,41.59,80.02,SSD,2,101.56
41,batch_1,ML,ml_resnet,5,4,8,78.7,3.15,6.36,0.795,112.87,170.07,282.94,NVMe,3,96.05
42,batch_1,ML,ml_resnet,5,4,16,78.41,3.14,9.88,0.618,154.24,98.87,253.11,NVMe,3,84.44
43,batch_1,ML,ml_resnet,5,4,16,88.37,3.53,11.78,0.736,74.9,77.28,152.18,SSD,2,112.65
44,batch_1,ML,ml_resnet,5,4,16,79.43,3.18,13.19,0.824,22.14,115.6,137.74,NVMe,3,80.27
45,batch_1,ML,ml_resnet,5,4,16,79.5,3.18,7.67,0.479,69.03,55.08,124.11,NVMe,3,79.08
46,batch_1,ML,ml_resnet,5,4,16,90.61,3.62,8.21,0.513,211.76,129.6,341.36,SSD,2,113.83
47,batch_1,ML,ml_resnet,5,4,16,77.83,3.11,12.37,0.773,141.66,123.54,265.2,NVMe,3,75.99
48,batch_1,ML,ml_resnet,5,4,32,78.24,3.13,16.12,0.504,46.55,28.2,74.75,NVMe,3,77.7
49,batch_1,ML,ml_resnet,5,4,32,75.62,3.02,18.01,0.563,68.44,68.29,136.73,NVMe,3,88.13
50,batch_1,ML,ml_resnet,5,4,32,73.54,2.94,25.99,0.812,214.6,25.69,240.29,NVMe,3,77.31
51,batch_1,ML,ml_resnet,5,4,32,85.32,3.41,14.96,0.468,96.72,32.24,128.96,SSD,2,94.05
52,batch_1,ML,ml_resnet,5,4,32,88.04,3.52,21.58,0.674,45.73,170.66,216.39,SSD,2,101.97
53,batch_1,ML,ml_resnet,5,4,32,81.73,3.27,21.38,0.668,211.96,109.03,320.99,NVMe,3,85.39
54,batch_1,ML,ml_resnet,5,4,64,94.9,3.8,52.69,0.823,243.61,16.78,260.39,HDD,1,122.5
55,batch_1,ML,ml_resnet,5,4,64,81.56,3.26,35.19,0.55,43.64,142.62,186.26,SSD,2,98.92
56,batch_1,ML,ml_resnet,5,4,64,93.92,3.76,34.86,0.545,57.38,145.98,203.36,SSD,2,109.33
57,batch_1,ML,ml_resnet,5,4,64,95.0,3.8,29.43,0.46,189.41,66.47,255.88,HDD,1,122.43
58,batch_1,ML,ml_resnet,5,4,64,89.35,3.57,35.63,0.557,201.1,28.38,229.48,SSD,2,102.49
59,batch_1,ML,ml_resnet,5,4,64,92.73,3.71,34.49,0.539,207.81,88.25,296.06,HDD,1,108.29
60,batch_1,ML,ml_resnet,5,8,4,85.57,6.85,2.86,0.715,111.65,57.36,169.01,SSD,2,106.68
61,batch_1,ML,ml_resnet,5,8,4,95.0,7.6,2.25,0.562,167.54,77.95,245.49,HDD,1,111.6
62,batch_1,ML,ml_resnet,5,8,4,79.58,6.37,2.22,0.555,153.54,177.2,330.74,NVMe,3,81.61
63,batch_1,ML,ml_resnet,5,8,4,95.0,7.6,2.5,0.625,187.57,63.33,250.9,HDD,1,129.84
64,batch_1,ML,ml_resnet,5,8,4,81.56,6.52,2.1,0.525,30.21,84.13,114.34,NVMe,3,85.12
65,batch_1,ML,ml_resnet,5,8,4,80.26,6.42,2.66,0.665,185.47,136.13,321.6,NVMe,3,82.0
66,batch_1,ML,ml_resnet,5,8,8,75.61,6.05,6.55,0.819,163.33,122.78,286.11,NVMe,3,72.24
67,batch_1,ML,ml_resnet,5,8,8,95.0,7.6,4.56,0.57,91.14,79.43,170.57,HDD,1,117.42
68,batch_1,ML,ml_resnet,5,8,8,73.77,5.9,5.73,0.716,107.2,137.18,244.38,SSD,2,83.7
69,batch_1,ML,ml_resnet,5,8,8,86.39,6.91,4.56,0.57,146.03,10.07,156.1,HDD,1,100.47
70,batch_1,ML,ml_resnet,5,8,8,80.48,6.44,4.63,0.579,121.61,124.86,246.47,SSD,2,88.82
71,batch_1,ML,ml_resnet,5,8,8,74.19,5.94,6.48,0.81,203.09,38.85,241.94,NVMe,3,78.92
72,batch_1,ML,ml_resnet,5,8,16,83.14,6.65,7.8,0.487,238.96,49.93,288.89,HDD,1,93.9
73,batch_1,ML,ml_resnet,5,8,16,73.77,5.9,8.47,0.529,25.62,51.62,77.24,SSD,2,83.04
74,batch_1,ML,ml_resnet,5,8,16,68.81,5.5,12.87,0.804,152.4,132.12,284.52,SSD,2,68.51
75,batch_1,ML,ml_resnet,5,8,16,69.75,5.58,8.76,0.547,170.89,10.94,181.83,SSD,2,69.61
76,batch_1,ML,ml_resnet,5,8,16,86.46,6.92,11.65,0.728,126.85,104.76,231.61,HDD,1,96.83
77,batch_1,ML,ml_resnet,5,8,16,80.24,6.42,12.33,0.771,173.54,177.94,351.48,HDD,1,91.35
78,batch_1,ML,ml_resnet,5,8,32,62.4,4.99,24.83,0.776,225.16,82.55,307.71,NVMe,3,55.94
79,batch_1,ML,ml_resnet,5,8,32,66.99,5.36,16.44,0.514,218.14,86.51,304.65,NVMe,3,65.07
80,batch_1,ML,ml_resnet,5,8,32,84.87,6.79,20.6,0.644,75.03,84.78,159.81,HDD,1,94.18
81,batch_1,ML,ml_resnet,5,8,32,60.84,4.87,17.88,0.559,93.53,101.83,195.36,NVMe,3,55.97
82,batch_1,ML,ml_resnet,5,8,32,79.07,6.33,17.14,0.536,115.42,66.25,181.67,HDD,1,95.09
83,batch_1,ML,ml_resnet,5,8,32,72.08,5.77,17.05,0.533,116.63,163.82,280.45,SSD,2,75.84
84,batch_1,ML,ml_resnet,5,8,64,68.58,5.49,43.54,0.68,129.71,170.27,299.98,NVMe,3,59.54
85,batch_1,ML,ml_resnet,5,8,64,73.28,5.86,50.65,0.791,239.29,81.23,320.52,SSD,2,71.5
86,batch_1,ML,ml_resnet,5,8,64,68.01,5.44,41.3,0.645,82.78,92.56,175.34,NVMe,3,58.06
87,batch_1,ML,ml_resnet,5,8,64,64.79,5.18,46.19,0.722,112.99,38.06,151.05,SSD,2,62.85
88,batch_1,ML,ml_resnet,5,8,64,77.44,6.2,52.02,0.813,156.14,122.71,278.85,SSD,2,84.19
89,batch_1,ML,ml_resnet,5,8,64,77.78,6.22,32.27,0.504,126.19,18.55,144.74,HDD,1,82.71
90,batch_1,ML,ml_resnet,5,16,4,70.97,11.36,3.21,0.802,84.0,171.7,255.7,SSD,2,75.18
91,batch_1,ML,ml_resnet,5,16,4,74.18,11.87,1.93,0.482,24.46,101.7,126.16,SSD,2,83.31
92,batch_1,ML,ml_resnet,5,16,4,78.73,12.6,1.86,0.465,27.14,52.04,79.18,SSD,2,78.32
93,batch_1,ML,ml_resnet,5,16,4,87.14,13.94,2.18,0.545,128.92,29.45,158.37,HDD,1,101.85
94,batch_1,ML,ml_resnet,5,16,4,80.71,12.91,2.77,0.693,241.66,132.12,373.78,HDD,1,94.04
95,batch_1,ML,ml_resnet,5,16,4,89.86,14.38,1.97,0.492,25.91,63.03,88.94,HDD,1,100.42
96,batch_1,ML,ml_resnet,5,16,8,68.31,10.93,4.23,0.529,156.18,151.2,307.38,NVMe,3,57.8
97,batch_1,ML,ml_resnet,5,16,8,71.98,11.52,6.07,0.759,215.57,112.07,327.64,HDD,1,81.92
98,batch_1,ML,ml_resnet,5,16,8,74.05,11.85,5.3,0.662,172.15,21.72,193.87,HDD,1,87.28
99,batch_1,ML,ml_resnet,5,16,8,58.39,9.34,6.32,0.79,209.14,27.94,237.08,NVMe,3,49.95
100,batch_1,ML,ml_resnet,5,16,8,67.6,10.82,4.99,0.624,188.77,174.13,362.9,SSD,2,61.06
101,batch_1,ML,ml_resnet,5,16,8,66.27,10.6,6.54,0.818,198.17,89.03,287.2,SSD,2,60.23
102,batch_1,ML,ml_resnet,5,16,16,55.15,8.82,13.18,0.824,84.15,86.64,170.79,NVMe,3,45.39
103,batch_1,ML,ml_resnet,5,16,16,63.95,10.23,11.48,0.718,97.37,94.03,191.4,SSD,2,56.51
104,batch_1,ML,ml_resnet,5,16,16,67.81,10.85,9.38,0.586,222.47,129.2,351.67,SSD,2,59.67
105,batch_1,ML,ml_resnet,5,16,16,66.09,10.57,10.51,0.657,63.94,51.03,114.97,SSD,2,61.06
106,batch_1,ML,ml_resnet,5,16,16,62.71,10.03,11.33,0.708,132.89,144.8,277.69,SSD,2,51.61
107,batch_1,ML,ml_resnet,5,16,16,70.48,11.28,9.79,0.612,75.96,122.87,198.83,HDD,1,75.07
108,batch_1,ML,ml_resnet,5,16,32,59.75,9.56,23.95,0.748,96.08,129.49,225.57,SSD,2,50.98
109,batch_1,ML,ml_resnet,5,16,32,61.32,9.81,17.35,0.542,185.9,63.64,249.54,SSD,2,56.51
110,batch_1,ML,ml_resnet,5,16,32,52.01,8.32,17.17,0.537,131.37,133.18,264.55,NVMe,3,40.31
111,batch_1,ML,ml_resnet,5,16,32,58.15,9.3,26.95,0.842,211.5,60.36,271.86,NVMe,3,44.37
112,batch_1,ML,ml_resnet,5,16,32,63.34,10.13,17.91,0.56,244.09,104.07,348.16,SSD,2,55.99
113,batch_1,ML,ml_resnet,5,16,32,62.47,10.0,22.56,0.705,193.14,27.44,220.58,NVMe,3,46.06
114,batch_1,ML,ml_resnet,5,16,64,67.36,10.78,33.52,0.524,31.82,169.98,201.8,HDD,1,65.91
115,batch_1,ML,ml_resnet,5,16,64,58.01,9.28,30.47,0.476,133.1,108.09,241.19,SSD,2,53.74
116,batch_1,ML,ml_resnet,5,16,64,59.27,9.48,36.58,0.572,248.6,30.14,278.74,NVMe,3,47.29
117,batch_1,ML,ml_resnet,5,16,64,64.28,10.28,49.04,0.766,71.91,98.84,170.75,SSD,2,56.44
118,batch_1,ML,ml_resnet,5,16,64,65.12,10.42,39.78,0.622,150.78,20.24,171.02,SSD,2,58.46
119,batch_1,ML,ml_resnet,5,16,64,53.05,8.49,48.33,0.755,163.87,54.99,218.86,NVMe,3,44.12
120,batch_1,ML,ml_bert,6,2,4,95.0,1.9,1.8,0.45,123.62,110.95,234.57,HDD,1,349.45
121,batch_1,ML,ml_bert,6,2,4,95.0,1.9,2.26,0.565,85.03,156.13,241.16,SSD,2,277.85
122,batch_1,ML,ml_bert,6,2,4,95.0,1.9,2.8,0.7,172.07,168.72,340.79,HDD,1,320.52
123,batch_1,ML,ml_bert,6,2,4,95.0,1.9,2.16,0.54,54.27,55.16,109.43,SSD,2,228.82
124,batch_1,ML,ml_bert,6,2,4,95.0,1.9,3.0,0.75,150.92,59.06,209.98,HDD,1,354.27
125,batch_1,ML,ml_bert,6,2,4,95.0,1.9,2.29,0.573,112.58,56.28,168.86,HDD,1,347.55
126,batch_1,ML,ml_bert,6,2,8,95.0,1.9,4.98,0.623,94.13,52.56,146.69,NVMe,3,182.68
127,batch_1,ML,ml_bert,6,2,8,95.0,1.9,5.76,0.72,217.92,109.81,327.73,HDD,1,292.88
128,batch_1,ML,ml_bert,6,2,8,95.0,1.9,3.73,0.466,193.94,89.99,283.93,HDD,1,323.14
129,batch_1,ML,ml_bert,6,2,8,95.0,1.9,4.49,0.561,249.3,84.1,333.4,NVMe,3,188.01
130,batch_1,ML,ml_bert,6,2,8,95.0,1.9,4.63,0.579,44.06,37.34,81.4,SSD,2,247.65
131,batch_1,ML,ml_bert,6,2,8,95.0,1.9,4.52,0.565,237.39,148.31,385.7,SSD,2,226.36
132,batch_1,ML,ml_bert,6,2,16,95.0,1.9,7.94,0.496,197.69,157.03,354.72,NVMe,3,169.37
133,batch_1,ML,ml_bert,6,2,16,95.0,1.9,10.67,0.667,115.05,41.89,156.94,HDD,1,257.74
134,batch_1,ML,ml_bert,6,2,16,95.0,1.9,7.53,0.471,81.42,32.27,113.69,SSD,2,189.26
135,batch_1,ML,ml_bert,6,2,16,95.0,1.9,11.67,0.729,47.93,175.43,223.36,SSD,2,189.61
136,batch_1,ML,ml_bert,6,2,16,95.0,1.9,7.29,0.456,113.84,48.2,162.04,NVMe,3,170.08
137,batch_1,ML,ml_bert,6,2,16,95.0,1.9,7.95,0.497,211.39,94.72,306.11,HDD,1,229.14
138,batch_1,ML,ml_bert,6,2,32,95.0,1.9,20.58,0.643,128.61,87.65,216.26,NVMe,3,152.26
139,batch_1,ML,ml_bert,6,2,32,95.0,1.9,26.2,0.819,136.9,159.49,296.39,HDD,1,269.55
140,batch_1,ML,ml_bert,6,2,32,95.0,1.9,26.36,0.824,136.78,149.49,286.27,HDD,1,238.84
141,batch_1,ML,ml_bert,6,2,32,95.0,1.9,25.12,0.785,153.38,122.19,275.57,SSD,2,214.92
142,batch_1,ML,ml_bert,6,2,32,95.0,1.9,24.16,0.755,106.76,168.58,275.34,HDD,1,225.25
143,batch_1,ML,ml_bert,6,2,32,95.0,1.9,17.46,0.546,108.08,155.52,263.6,HDD,1,250.26
144,batch_1,ML,ml_bert,6,2,64,95.0,1.9,49.57,0.775,108.8,122.83,231.63,SSD,2,212.88
145,batch_1,ML,ml_bert,6,2,64,95.0,1.9,41.48,0.648,28.51,95.39,123.9,NVMe,3,161.63
146,batch_1,ML,ml_bert,6,2,64,95.0,1.9,31.35,0.49,229.4,12.61,242.01,NVMe,3,154.24
147,batch_1,ML,ml_bert,6,2,64,95.0,1.9,45.56,0.712,55.5,89.81,145.31,HDD,1,250.62
148,batch_1,ML,ml_bert,6,2,64,95.0,1.9,50.61,0.791,216.04,156.09,372.13,SSD,2,180.67
149,batch_1,ML,ml_bert,6,2,64,95.0,1.9,44.85,0.701,224.11,92.95,317.06,SSD,2,209.04
150,batch_1,ML,ml_bert,6,4,4,95.0,3.8,3.27,0.818,249.41,136.95,386.36,NVMe,3,153.62
151,batch_1,ML,ml_bert,6,4,4,95.0,3.8,3.02,0.755,181.89,27.09,208.98,SSD,2,184.13
152,batch_1,ML,ml_bert,6,4,4,95.0,3.8,3.07,0.767,87.47,73.72,161.19,HDD,1,220.83
153,batch_1,ML,ml_bert,6,4,4,95.0,3.8,2.46,0.615,176.81,40.61,217.42,HDD,1,199.88
154,batch_1,ML,ml_bert,6,4,4,95.0,3.8,2.19,0.547,229.95,34.33,264.28,HDD,1,262.0
155,batch_1,ML,ml_bert,6,4,4,95.0,3.8,2.54,0.635,173.37,162.81,336.18,SSD,2,195.4
156,batch_1,ML,ml_bert,6,4,8,95.0,3.8,5.01,0.626,99.48,109.89,209.37,SSD,2,170.35
157,batch_1,ML,ml_bert,6,4,8,95.0,3.8,5.81,0.726,125.07,61.36,186.43,NVMe,3,120.51
158,batch_1,ML,ml_bert,6,4,8,95.0,3.8,4.75,0.594,88.05,128.88,216.93,SSD,2,160.06
159,batch_1,ML,ml_bert,6,4,8,95.0,3.8,5.71,0.714,83.13,106.21,189.34,HDD,1,194.41
160,batch_1,ML,ml_bert,6,4,8,95.0,3.8,5.98,0.748,211.55,163.5,375.05,NVMe,3,132.66
161,batch_1,ML,ml_bert,6,4,8,95.0,3.8,4.73,0.591,166.42,115.55,281.97,HDD,1,162.6
162,batch_1,ML,ml_bert,6,4,16,93.21,3.73,8.08,0.505,42.35,116.67,159.02,NVMe,3,112.8
163,batch_1,ML,ml_bert,6,4,16,95.0,3.8,10.02,0.626,153.3,134.5,287.8,HDD,1,153.85
164,batch_1,ML,ml_bert,6,4,16,95.0,3.8,8.49,0.531,200.9,159.0,359.9,HDD,1,183.91
165,batch_1,ML,ml_bert,6,4,16,95.0,3.8,13.05,0.816,211.01,53.68,264.69,SSD,2,132.69
166,batch_1,ML,ml_bert,6,4,16,95.0,3.8,12.35,0.772,127.72,22.8,150.52,SSD,2,145.16
167,batch_1,ML,ml_bert,6,4,16,95.0,3.8,11.83,0.739,245.39,174.44,419.83,HDD,1,172.65
168,batch_1,ML,ml_bert,6,4,32,79.22,3.17,21.27,0.665,124.6,124.38,248.98,NVMe,3,98.17
169,batch_1,ML,ml_bert,6,4,32,91.06,3.64,19.28,0.603,166.87,73.15,240.02,NVMe,3,116.87
170,batch_1,ML,ml_bert,6,4,32,92.42,3.7,21.59,0.675,230.51,47.63,278.14,NVMe,3,107.15
171,batch_1,ML,ml_bert,6,4,32,95.0,3.8,20.34,0.636,181.25,120.37,301.62,HDD,1,169.02
172,batch_1,ML,ml_bert,6,4,32,95.0,3.8,20.71,0.647,42.35,160.83,203.18,HDD,1,184.4
173,batch_1,ML,ml_bert,6,4,32,95.0,3.8,19.15,0.598,238.36,128.4,366.76,HDD,1,188.09
174,batch_1,ML,ml_bert,6,4,64,79.65,3.19,39.42,0.616,42.77,93.19,135.96,NVMe,3,96.21
175,batch_1,ML,ml_bert,6,4,64,95.0,3.8,35.96,0.562,178.76,46.94,225.7,SSD,2,138.09
176,batch_1,ML,ml_bert,6,4,64,95.0,3.8,46.35,0.724,145.23,176.23,321.46,SSD,2,147.89
177,batch_1,ML,ml_bert,6,4,64,93.23,3.73,35.86,0.56,242.69,171.33,414.02,SSD,2,125.25
178,batch_1,ML,ml_bert,6,4,64,95.0,3.8,53.66,0.838,31.63,66.7,98.33,SSD,2,136.05
179,batch_1,ML,ml_bert,6,4,64,95.0,3.8,34.05,0.532,210.86,104.22,315.08,HDD,1,170.79
180,batch_1,ML,ml_bert,6,8,4,89.79,7.18,2.04,0.51,227.12,10.48,237.6,NVMe,3,113.0
181,batch_1,ML,ml_bert,6,8,4,95.0,7.6,2.66,0.665,203.66,28.69,232.35,HDD,1,194.22
182,batch_1,ML,ml_bert,6,8,4,95.0,7.6,2.74,0.685,23.63,55.11,78.74,HDD,1,178.26
183,batch_1,ML,ml_bert,6,8,4,95.0,7.6,2.64,0.66,191.5,90.96,282.46,HDD,1,178.94
184,batch_1,ML,ml_bert,6,8,4,95.0,7.6,3.31,0.828,29.97,143.15,173.12,SSD,2,129.59
185,batch_1,ML,ml_bert,6,8,4,89.91,7.19,2.53,0.632,241.73,20.34,262.07,NVMe,3,109.4
186,batch_1,ML,ml_bert,6,8,8,90.98,7.28,5.88,0.735,122.02,162.88,284.9,SSD,2,119.8
187,batch_1,ML,ml_bert,6,8,8,90.08,7.21,3.81,0.476,83.25,117.62,200.87,SSD,2,107.99
188,batch_1,ML,ml_bert,6,8,8,82.23,6.58,4.54,0.568,136.28,83.13,219.41,NVMe,3,92.52
189,batch_1,ML,ml_bert,6,8,8,75.03,6.0,5.7,0.713,221.87,103.73,325.6,NVMe,3,87.77
190,batch_1,ML,ml_bert,6,8,8,95.0,7.6,6.25,0.781,111.71,134.03,245.74,HDD,1,126.88
191,batch_1,ML,ml_bert,6,8,8,95.0,7.6,5.73,0.716,106.09,35.95,142.04,SSD,2,122.09
192,batch_1,ML,ml_bert,6,8,16,87.28,6.98,7.82,0.489,189.92,148.0,337.92,SSD,2,112.69
193,batch_1,ML,ml_bert,6,8,16,73.96,5.92,13.32,0.833,149.19,123.9,273.09,NVMe,3,86.73
194,batch_1,ML,ml_bert,6,8,16,84.63,6.77,12.76,0.797,185.84,174.63,360.47,SSD,2,94.25
195,batch_1,ML,ml_bert,6,8,16,77.65,6.21,7.86,0.491,136.7,36.3,173.0,NVMe,3,89.06
196,batch_1,ML,ml_bert,6,8,16,89.01,7.12,9.55,0.597,195.4,107.6,303.0,SSD,2,101.11
197,batch_1,ML,ml_bert,6,8,16,90.4,7.23,13.44,0.84,208.24,114.31,322.55,SSD,2,103.89
198,batch_1,ML,ml_bert,6,8,32,72.24,5.78,23.28,0.728,26.66,56.46,83.12,NVMe,3,71.32
199,batch_1,ML,ml_bert,6,8,32,85.5,6.84,18.89,0.59,61.72,34.35,96.07,SSD,2,92.57
200,batch_1,ML,ml_bert,6,8,32,74.28,5.94,14.79,0.462,191.61,46.57,238.18,NVMe,3,75.9
201,batch_1,ML,ml_bert,6,8,32,83.51,6.68,16.41,0.513,91.68,65.15,156.83,SSD,2,97.94
202,batch_1,ML,ml_bert,6,8,32,66.06,5.28,24.06,0.752,31.45,23.87,55.32,NVMe,3,69.01
203,batch_1,ML,ml_bert,6,8,32,80.56,6.44,20.62,0.644,121.67,56.44,178.11,SSD,2,87.88
204,batch_1,ML,ml_bert,6,8,64,74.21,5.94,46.17,0.721,131.93,123.41,255.34,NVMe,3,82.75
205,batch_1,ML,ml_bert,6,8,64,95.0,7.6,54.0,0.844,32.6,44.75,77.35,HDD,1,127.83
206,batch_1,ML,ml_bert,6,8,64,94.63,7.57,31.87,0.498,134.4,83.21,217.61,HDD,1,123.47
207,batch_1,ML,ml_bert,6,8,64,87.54,7.0,46.81,0.731,135.06,151.67,286.73,HDD,1,107.48
208,batch_1,ML,ml_bert,6,8,64,84.31,6.74,29.28,0.458,231.87,156.56,388.43,SSD,2,107.77
209,batch_1,ML,ml_bert,6,8,64,75.86,6.07,39.15,0.612,167.23,59.22,226.45,NVMe,3,83.14
210,batch_1,ML,ml_bert,6,16,4,93.2,14.91,2.79,0.698,211.37,166.36,377.73,SSD,2,110.38
211,batch_1,ML,ml_bert,6,16,4,95.0,15.2,1.97,0.492,120.21,78.08,198.29,HDD,1,133.42
212,batch_1,ML,ml_bert,6,16,4,95.0,15.2,2.33,0.583,58.67,96.78,155.45,HDD,1,126.01
213,batch_1,ML,ml_bert,6,16,4,95.0,15.2,2.11,0.527,198.53,69.69,268.22,HDD,1,137.21
214,batch_1,ML,ml_bert,6,16,4,74.87,11.98,2.12,0.53,158.55,139.24,297.79,NVMe,3,86.82
215,batch_1,ML,ml_bert,6,16,4,71.29,11.41,3.32,0.83,164.43,88.87,253.3,NVMe,3,81.07
216,batch_1,ML,ml_bert,6,16,8,75.88,12.14,5.41,0.676,166.12,116.17,282.29,NVMe,3,73.27
217,batch_1,ML,ml_bert,6,16,8,66.84,10.69,5.01,0.626,127.85,117.34,245.19,NVMe,3,67.36
218,batch_1,ML,ml_bert,6,16,8,72.87,11.66,5.08,0.635,28.65,72.69,101.34,SSD,2,84.25
219,batch_1,ML,ml_bert,6,16,8,73.75,11.8,6.37,0.796,216.72,114.55,331.27,SSD,2,85.97
220,batch_1,ML,ml_bert,6,16,8,73.49,11.76,5.96,0.745,29.44,164.54,193.98,NVMe,3,67.89
221,batch_1,ML,ml_bert,6,16,8,75.21,12.03,4.63,0.579,129.39,35.65,165.04,NVMe,3,77.39
222,batch_1,ML,ml_bert,6,16,16,81.97,13.12,13.49,0.843,39.4,119.84,159.24,HDD,1,87.19
223,batch_1,ML,ml_bert,6,16,16,84.05,13.45,10.0,0.625,121.07,98.87,219.94,HDD,1,103.14
224,batch_1,ML,ml_bert,6,16,16,78.41,12.55,12.16,0.76,176.15,18.9,195.05,HDD,1,89.07
225,batch_1,ML,ml_bert,6,16,16,72.15,11.54,7.62,0.476,41.74,125.32,167.06,NVMe,3,71.35
